TransactionID,AccountID,TransactionAmount,TransactionDate,TransactionType,Location,DeviceID,IP Address,MerchantID,Channel,CustomerAge,CustomerOccupation,TransactionDuration,LoginAttempts,AccountBalance,PreviousTransactionDate,Cluster,Cluster_After_FS
0,126,-0.9712754695068417,620,1,36,364,185,14,0,1.4237182648914386,0,-0.5524432626288956,-0.2067936485059295,-0.000536635052410607,105,1,0
1,449,0.2694396064236744,1088,1,15,50,81,51,0,1.3112870641052805,0,0.30531436617680696,-0.2067936485059295,2.2164715868484435,192,1,0
2,18,-0.5868816229808057,1166,1,23,229,342,8,2,-1.443277355155591,3,-0.9098422746312717,-0.2067936485059295,-1.0235341282270716,41,0,1
3,68,-0.38745590278222686,746,1,33,182,299,1,2,-1.0497681524040379,3,-1.353017049514218,-0.2067936485059295,0.8857974429054191,163,0,2
4,405,-0.9734680903782914,1786,0,1,297,499,90,2,-1.0497681524040379,3,1.1201841135422244,-0.2067936485059295,0.5935893646592064,16,0,2
5,387,-0.7038442425922038,578,1,28,557,60,53,0,-1.49949295554867,3,0.7484891410597533,-0.2067936485059295,-1.1108816933044958,13,0,1
6,196,-0.9952915199894398,279,0,39,235,111,18,0,-0.4313965480801688,0,0.2767224452166169,-0.2067936485059295,2.103091796208713,226,1,0
7,67,-0.43226759184248137,763,0,16,480,568,19,1,1.2550714637122016,2,2.449708438191063,-0.2067936485059295,-0.5943498275623533,271,1,2
8,133,-0.6556065834203091,504,0,11,665,368,34,1,0.35562185742293734,1,-0.4809634602284204,-0.2067936485059295,1.0206840106570008,290,1,0
9,379,1.7759071839141245,555,1,26,194,391,6,0,0.5804842589952534,0,0.005099196094811046,-0.2067936485059295,-1.049294570483005,9,2,2
10,148,-0.958633639794889,469,0,0,200,336,72,2,0.41183745781601633,1,-0.8669543931909865,-0.2067936485059295,0.6372080213386072,22,1,0
11,453,-0.3685445477659726,212,1,22,567,56,29,2,-1.330846154369433,3,0.7627851015398482,-0.2067936485059295,-0.9193180502003306,49,0,1
12,386,0.674663351228483,957,0,23,31,331,56,1,-1.162199353190196,3,-0.12356444822604433,-0.2067936485059295,-0.895931865884976,135,0,1
13,259,1.658739006096028,1997,1,22,53,276,24,0,-1.0497681524040379,3,0.04798707753509617,-0.2067936485059295,-1.2626675419268705,43,2,1
14,83,-0.4474446394370476,257,1,21,298,250,16,2,-1.49949295554867,3,0.20524264281614163,-0.2067936485059295,-1.2344020780640845,226,0,1
15,265,0.575070400083101,2160,1,10,449,359,24,0,-0.4876121484732478,1,0.13376284041566644,-0.2067936485059295,-0.4227417455289484,355,2,1
16,312,0.8846067996697973,1868,0,2,646,462,47,1,-1.443277355155591,3,0.5483456943384226,-0.2067936485059295,-1.021249610057465,72,0,1
17,353,0.669216058750975,2173,1,8,415,49,58,2,-0.31896534729401077,1,1.6348386908256458,-0.2067936485059295,-0.0011109695866326143,327,2,2
18,237,-0.9555502666944129,322,0,0,510,576,53,1,0.8053466605675694,2,-0.19504425062651956,-0.2067936485059295,0.7266529330633243,337,1,0
19,280,-0.7746590447998077,968,0,8,38,69,38,2,-1.49949295554867,3,0.7056012596194681,-0.2067936485059295,0.3728782439432717,177,0,1
20,1,-0.8163188413573532,375,1,20,150,59,39,1,1.4799338652845175,2,-1.1671695632729824,-0.2067936485059295,0.1632204990176552,181,1,0
21,13,-0.7257019319044686,1369,1,19,259,476,64,1,-0.3751809476870898,0,-0.38089173686775507,-0.2067936485059295,1.0337731972516602,110,1,2
22,93,-0.8407117485522317,950,1,1,140,90,21,2,-0.31896534729401077,1,0.005099196094811046,-0.2067936485059295,0.9898622453182356,38,1,2
23,236,-0.5209316983317309,396,1,33,35,62,27,2,-1.330846154369433,3,-0.33800385542746997,-0.2067936485059295,-0.8162070533532758,46,0,1
24,39,-0.9938868722436672,1817,0,15,646,541,42,2,1.1426402629260435,2,2.2352690309896377,-0.2067936485059295,-0.37937692420172625,201,1,2
25,55,-0.8814122734785179,546,1,25,299,326,7,1,-0.4313965480801688,1,-0.35229981590756504,-0.2067936485059295,-0.6224819637654089,335,0,2
26,384,-0.5829074976513031,147,1,19,226,150,91,2,-0.03788734532861574,0,1.1058881530621294,-0.2067936485059295,-0.8569489093746535,298,0,1
27,308,-0.82711064720902,1620,1,11,287,395,42,1,-0.9935525520109589,3,2.335340754350303,-0.2067936485059295,-0.9647315022991751,127,0,1
28,361,-0.9225581745193173,1196,0,24,565,402,90,2,0.8053466605675694,0,-1.4244968519146932,-0.2067936485059295,0.8256487204129397,174,1,0
29,286,-0.8170040353796812,203,1,3,273,247,52,0,-0.8811213512248008,0,1.963645781867832,-0.2067936485059295,1.2074709339519887,35,1,2
30,353,1.9878034353190734,459,1,20,109,92,93,2,-1.274630553976354,3,0.4339780104976623,-0.2067936485059295,-1.2090005948920401,87,2,1
31,359,-0.1450342576825629,1857,0,37,344,568,1,1,0.018328255064463266,0,-0.995618037511842,-0.2067936485059295,2.487475439210654,267,1,0
32,262,-0.5921233572516154,1773,1,39,41,477,1,1,0.2431906566367793,1,-1.0670978399123172,-0.2067936485059295,0.16676650196778517,0,1,2
33,398,-0.7518763435574001,2012,1,25,244,395,27,1,-1.0497681524040379,3,0.3624982080971871,-0.2067936485059295,-1.0803881191281433,354,0,1
34,199,1.204866485705928,398,1,38,431,515,73,0,1.7047962668568335,2,0.24813052425642676,-0.2067936485059295,-0.0611366203932074,291,2,0
35,399,0.1303109601899639,148,1,28,37,447,39,2,0.5804842589952534,2,1.3775114021839352,-0.2067936485059295,-1.0499330048536357,69,0,2
36,415,0.10578101419061983,1289,1,35,536,480,13,0,1.0302090621398854,2,-0.009196764385283997,-0.2067936485059295,-0.2027203390527713,68,1,2
37,474,-0.9029958851818515,49,1,30,602,25,45,2,-0.3751809476870898,0,-1.4387928123947882,-0.2067936485059295,2.3332794367393115,321,1,0
38,118,-0.19244968402766394,669,0,5,193,486,43,2,0.6929154597814113,0,-0.052084645825569126,-0.2067936485059295,2.113427253831254,160,1,0
39,115,-0.8300227218039142,624,1,40,192,218,8,0,-1.443277355155591,3,-0.03778868534547408,-0.2067936485059295,-1.2493091360192947,100,0,1
40,10,0.023009576293391343,1256,1,21,660,521,4,1,-0.9935525520109589,3,-1.2386493656734576,-0.2067936485059295,-1.0885928981884585,210,0,1
41,395,0.47167462211379824,1708,1,6,287,285,50,1,1.6485806664637546,2,-0.42377961830804023,-0.2067936485059295,-0.11307799983191522,288,1,0
42,277,-0.4560095647161482,2165,1,3,101,43,69,1,-1.0497681524040379,3,-0.6382190255094659,-0.2067936485059295,-0.9243280934140357,250,0,1
43,433,0.7285196013834677,1722,1,28,380,244,89,2,-1.443277355155591,3,-0.20934021110661458,-0.2067936485059295,-1.1108765653175832,311,0,1
44,291,1.128193274607419,2049,1,10,275,571,22,2,-1.0497681524040379,3,0.2624264847365218,-0.2067936485059295,-1.243227343540836,61,2,1
45,465,-0.9441417862226509,525,0,34,293,75,54,2,-0.20653414650785276,1,0.7913770225000384,-0.2067936485059295,-0.9689877314367137,8,0,1
46,157,0.43765473890521056,258,0,18,636,108,39,2,1.3675026644983594,2,0.019395156574906088,-0.2067936485059295,-0.30941323475834487,44,2,0
47,476,0.43498248221813124,324,1,29,575,230,14,2,0.35562185742293734,1,2.0637175052284973,-0.2067936485059295,0.017831814068870102,159,2,2
48,113,-0.7268667617424263,954,1,41,229,277,77,1,1.2550714637122016,0,0.3624982080971871,-0.2067936485059295,2.5103026729525246,22,1,0
49,53,-0.4388454544568306,1541,1,36,425,426,35,1,-0.9373369516178799,3,0.319610326656902,-0.2067936485059295,-1.0757037030833945,155,0,1
50,413,-0.6610881355989335,548,1,29,617,244,94,0,0.9739934617468065,2,-0.42377961830804023,-0.2067936485059295,-0.1632040719035283,258,1,2
51,368,0.06631383850452403,1310,1,23,12,538,51,1,-1.105983752797117,3,-0.5238513416687055,-0.2067936485059295,-0.9718235081994352,172,0,1
52,266,-0.8121391578211521,2172,0,8,445,0,94,1,0.6929154597814113,2,-0.9670261165516518,-0.2067936485059295,-0.40495019493534623,214,1,2
53,450,-0.017245572518381578,404,0,9,300,292,74,1,1.3112870641052805,2,-0.8383624722307964,-0.2067936485059295,-0.12202890098802778,86,1,0
54,141,0.3046585791713361,972,1,16,143,245,63,1,0.1869750562437003,1,-1.3101291680739329,-0.2067936485059295,0.13238078572469533,46,2,2
55,421,-0.6355989179683301,1688,1,18,87,289,63,1,-1.218414953583275,3,-0.9813220770317469,-0.2067936485059295,-1.0727756225562444,313,0,1
